image_path,true_class,cnn_class,cnn_confidence,rule_score,approve_threshold,decision,cnn_correct,error
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\01_Good\260507S40B_1_1.png,01_Good,01_Good,0.7395066784612757,0.4593162426567659,0.45,APPROVE,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\01_Good\260507VMLG_1_4.png,01_Good,01_Good,0.6316384316805678,0.47257156500137704,0.45,APPROVE,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\01_Good\260507YJLD_1_1.png,01_Good,02_Out_of_Focus,0.6854641235272225,0.3141736226509191,0.45,REJECT,False,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\01_Good\260508CSN2_1_9.png,01_Good,01_Good,0.7471740049143591,0.36192683251052593,0.45,REJECT,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\01_Good\260508DPJC_1_2.png,01_Good,01_Good,0.8115344056902405,0.5498532289628181,0.45,APPROVE,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\01_Good\260508E9TV_1_2.png,01_Good,01_Good,0.974360168271436,0.5612584807041611,0.45,APPROVE,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\01_Good\260508FJSK_1_2.png,01_Good,01_Good,0.8075174944647958,0.47544499347782854,0.45,APPROVE,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\01_Good\260508HAQ2_1_2.png,01_Good,01_Good,0.8958634502162391,0.5448402539637683,0.45,APPROVE,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\01_Good\260508JO23_1_2.png,01_Good,01_Good,0.5186961205347207,0.5603303520933756,0.45,APPROVE,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\01_Good\260508LY6T_1_1.png,01_Good,01_Good,0.5181548363963877,0.41273550284287935,0.45,REJECT,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\01_Good\260508SDDG_1_2.png,01_Good,01_Good,0.7742356262337333,0.3912710609997808,0.45,REJECT,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\01_Good\260508TV3G_1_2.png,01_Good,01_Good,0.7555138497257049,0.6441091274672719,0.45,APPROVE,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\01_Good\260509D6IM_1_1.png,01_Good,01_Good,0.7787616490036389,0.46524532068667246,0.45,APPROVE,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\01_Good\260509M4QG_1_2.png,01_Good,01_Good,0.9463384358025628,0.7532818275333365,0.45,APPROVE,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\01_Good\260509YJAM_1_1.png,01_Good,01_Good,0.8345284666930887,0.6680827898167518,0.45,APPROVE,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\01_Good\26051017OV_1_2.png,01_Good,01_Good,0.6639648643709203,0.6951608070364459,0.45,APPROVE,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\01_Good\260510576I_1_2.png,01_Good,01_Good,0.8837371879928618,0.7152983358835096,0.45,APPROVE,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\01_Good\260510L3TG_1_1.png,01_Good,01_Good,0.7341567625213787,0.05,0.45,REJECT,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\01_Good\260510PZR7_1_1.png,01_Good,01_Good,0.8954404590507101,0.5134569855583562,0.45,APPROVE,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\01_Good\260510ZTBS_1_2.png,01_Good,01_Good,0.707746810461974,0.6601332539244175,0.45,APPROVE,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\01_Good\260511162T_1_2.png,01_Good,01_Good,0.6120077943753165,0.578957310464515,0.45,APPROVE,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\01_Good\26051144SS_1_2.png,01_Good,01_Good,0.9506699317839841,0.62029110248911,0.45,APPROVE,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\01_Good\2605116797_4.png,01_Good,01_Good,0.6761488512729426,0.5529343807891067,0.45,APPROVE,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\01_Good\260511F3EG_1_2.png,01_Good,01_Good,0.9454451596401272,0.7007528431695301,0.45,APPROVE,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\01_Good\2605122057_1_8.png,01_Good,01_Good,0.7108089695742537,0.7534246575342465,0.45,APPROVE,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\01_Good\260512416I_10.png,01_Good,01_Good,0.7181078109883704,0.5699091554816778,0.45,APPROVE,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\01_Good\2605137521_1_2.png,01_Good,01_Good,0.5314918126305057,0.38880832924424746,0.45,REJECT,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\01_Good\260522275C_1_2.png,01_Good,01_Good,0.8746947084157212,0.5523311634452592,0.45,APPROVE,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\01_Good\26052697R1_1_2.png,01_Good,01_Good,0.8363177833238099,0.7323644893349999,0.45,APPROVE,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\02_Out_of_Focus\2606063H5R_1_2.png,02_Out_of_Focus,02_Out_of_Focus,0.8818777630671946,0.5580736745435805,0.45,APPROVE,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\02_Out_of_Focus\2606065NHT_1_2 (2).png,02_Out_of_Focus,02_Out_of_Focus,0.8788536142501405,0.930584651283381,0.45,APPROVE,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\02_Out_of_Focus\260606CXCN_1_2.png,02_Out_of_Focus,02_Out_of_Focus,0.894919172783732,0.12179066489896705,0.45,REJECT,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\02_Out_of_Focus\260606JD06_1_2.png,02_Out_of_Focus,02_Out_of_Focus,0.9192552966483306,0.951840923062373,0.45,APPROVE,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\02_Out_of_Focus\260606L395_1_2.png,02_Out_of_Focus,02_Out_of_Focus,0.9002341438412962,0.7620061054160333,0.45,APPROVE,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\02_Out_of_Focus\260606OYH0_1_1.png,02_Out_of_Focus,02_Out_of_Focus,0.9527735435662518,0.18817340344880149,0.45,REJECT,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\02_Out_of_Focus\260606WEOA_1_2.png,02_Out_of_Focus,02_Out_of_Focus,0.933735998042298,0.31366859448819673,0.45,REJECT,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\02_Out_of_Focus\260606YTIR_1_1.png,02_Out_of_Focus,02_Out_of_Focus,0.9350301888998005,0.19419971172767056,0.45,REJECT,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\02_Out_of_Focus\260606Z6Z9_1_1.png,02_Out_of_Focus,02_Out_of_Focus,0.9328414627594036,0.7767392174695716,0.45,APPROVE,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\02_Out_of_Focus\260606Z6Z9_1_2 (2).png,02_Out_of_Focus,02_Out_of_Focus,0.9410096273914259,0.9405691554467566,0.45,APPROVE,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\02_Out_of_Focus\260614WALM_15_1.png,02_Out_of_Focus,02_Out_of_Focus,0.9630068469080056,0.28476434159774466,0.45,REJECT,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\02_Out_of_Focus\260614WALM_3_1.png,02_Out_of_Focus,02_Out_of_Focus,0.956994254335389,0.4424522956801985,0.45,REJECT,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\02_Out_of_Focus\260614WALM_8_1.png,02_Out_of_Focus,02_Out_of_Focus,0.962687368748723,0.30174884472690905,0.45,REJECT,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\02_Out_of_Focus\260619J169_11.png,02_Out_of_Focus,02_Out_of_Focus,0.9238618400842703,0.3273162744814965,0.45,REJECT,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\02_Out_of_Focus\260619J169_34.png,02_Out_of_Focus,02_Out_of_Focus,0.9251152398214953,0.3779769028179716,0.45,REJECT,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\02_Out_of_Focus\260619J169_47.png,02_Out_of_Focus,02_Out_of_Focus,0.9661153117756422,0.283364818379401,0.45,REJECT,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\02_Out_of_Focus\260619J169_78.png,02_Out_of_Focus,02_Out_of_Focus,0.8362663057185676,0.24181469268992695,0.45,REJECT,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\02_Out_of_Focus\2606222JG3_1_1.png,02_Out_of_Focus,02_Out_of_Focus,0.8528259095536476,0.8755338737897568,0.45,APPROVE,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\02_Out_of_Focus\2606227JDP_1_2.png,02_Out_of_Focus,04_Over_Saturated,0.6498952548152744,0.4345288825842073,0.45,REJECT,False,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\02_Out_of_Focus\260622AD3U_5.png,02_Out_of_Focus,02_Out_of_Focus,0.9093385280683522,0.15967232992776856,0.45,REJECT,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\02_Out_of_Focus\260622DI0V_1_2.png,02_Out_of_Focus,02_Out_of_Focus,0.8384012649400525,0.7285437930564852,0.45,APPROVE,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\02_Out_of_Focus\260623CZEM_1_2.png,02_Out_of_Focus,02_Out_of_Focus,0.8618057080074221,0.5095704270848723,0.45,APPROVE,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\02_Out_of_Focus\2607027VZF_1062.png,02_Out_of_Focus,02_Out_of_Focus,0.9200449732032218,0.2391680041128405,0.45,REJECT,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\02_Out_of_Focus\2607027VZF_1867.png,02_Out_of_Focus,02_Out_of_Focus,0.9326111935170379,0.30160281439257847,0.45,REJECT,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\02_Out_of_Focus\2607027VZF_2096.png,02_Out_of_Focus,02_Out_of_Focus,0.9832092683360298,0.2815946147056995,0.45,REJECT,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\02_Out_of_Focus\2607027VZF_2105.png,02_Out_of_Focus,02_Out_of_Focus,0.9665914548411637,0.19576929139461796,0.45,REJECT,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\02_Out_of_Focus\2607027VZF_2115.png,02_Out_of_Focus,02_Out_of_Focus,0.9696102079362977,0.27779092024887386,0.45,REJECT,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\02_Out_of_Focus\2607027VZF_2116.png,02_Out_of_Focus,02_Out_of_Focus,0.901761620653353,0.19204535866449546,0.45,REJECT,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\02_Out_of_Focus\2607027VZF_2117.png,02_Out_of_Focus,02_Out_of_Focus,0.9672979999827374,0.198392101442422,0.45,REJECT,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\02_Out_of_Focus\2607027VZF_2126.png,02_Out_of_Focus,02_Out_of_Focus,0.9671219253254744,0.5463651957087919,0.45,APPROVE,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\02_Out_of_Focus\2607027VZF_2127.png,02_Out_of_Focus,02_Out_of_Focus,0.9802704296910443,0.15031661860935497,0.45,REJECT,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\02_Out_of_Focus\2607027VZF_2129.png,02_Out_of_Focus,02_Out_of_Focus,0.9496014668004571,0.12147076582523599,0.45,REJECT,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\02_Out_of_Focus\2607027VZF_2175.png,02_Out_of_Focus,02_Out_of_Focus,0.9352147446370022,0.2490147695607424,0.45,REJECT,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\02_Out_of_Focus\2607027VZF_2176.png,02_Out_of_Focus,02_Out_of_Focus,0.9800079880592587,0.2371510883422511,0.45,REJECT,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\02_Out_of_Focus\2607027VZF_2364.png,02_Out_of_Focus,02_Out_of_Focus,0.969240502324279,0.4487282110090233,0.45,REJECT,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\02_Out_of_Focus\2607027VZF_2371.png,02_Out_of_Focus,02_Out_of_Focus,0.9634161726752806,0.23561484225586554,0.45,REJECT,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\02_Out_of_Focus\260704R43Z_1_2.png,02_Out_of_Focus,02_Out_of_Focus,0.9731876761607475,0.33064115432417573,0.45,REJECT,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\02_Out_of_Focus\260704RBZH_1_1.png,02_Out_of_Focus,02_Out_of_Focus,0.9415370613936273,0.23754659436551676,0.45,REJECT,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\02_Out_of_Focus\FILE_CURRENT_FOCUS12058 (22).png,02_Out_of_Focus,02_Out_of_Focus,0.9672645299187692,0.828453010383591,0.45,APPROVE,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\02_Out_of_Focus\FILE_CURRENT_FOCUS12058 (24).png,02_Out_of_Focus,02_Out_of_Focus,0.9525876047286139,0.944169269395851,0.45,APPROVE,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\02_Out_of_Focus\FILE_CURRENT_FOCUS12058 (36).png,02_Out_of_Focus,02_Out_of_Focus,0.9749954125849605,0.9649333205566769,0.45,APPROVE,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\02_Out_of_Focus\FILE_CURRENT_FOCUS12058 (37).png,02_Out_of_Focus,02_Out_of_Focus,0.9769469092081333,0.7877194314147805,0.45,APPROVE,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\02_Out_of_Focus\FILE_CURRENT_FOCUS12058 (61).png,02_Out_of_Focus,02_Out_of_Focus,0.8598032827393836,0.9337838282207578,0.45,APPROVE,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\02_Out_of_Focus\FILE_CURRENT_FOCUS12058 (62).png,02_Out_of_Focus,02_Out_of_Focus,0.8598032827393836,0.9337838282207578,0.45,APPROVE,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\02_Out_of_Focus\FILE_CURRENT_FOCUS12058 (7).png,02_Out_of_Focus,02_Out_of_Focus,0.9721109238336835,0.73836636398831,0.45,APPROVE,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\02_Out_of_Focus\FILE_CURRENT_FOCUS12058 (8).png,02_Out_of_Focus,02_Out_of_Focus,0.9649005791593807,0.5806183670652463,0.45,APPROVE,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\02_Out_of_Focus\FILE_CURRENT_FOCUS12058 (9).png,02_Out_of_Focus,02_Out_of_Focus,0.9542389285976878,0.7646354146352508,0.45,APPROVE,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\02_Out_of_Focus\FILE_CURRENT_FOCUS12408 (13).png,02_Out_of_Focus,02_Out_of_Focus,0.9389438610013024,0.8436372737270806,0.45,APPROVE,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\02_Out_of_Focus\FILE_CURRENT_FOCUS12408 (14).png,02_Out_of_Focus,02_Out_of_Focus,0.970038842123054,0.7149366661129561,0.45,APPROVE,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\02_Out_of_Focus\FILE_CURRENT_FOCUS12408 (42).png,02_Out_of_Focus,02_Out_of_Focus,0.9457784058640033,0.7786529315051763,0.45,APPROVE,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\03_Tracking_Error\260511AAJR_1_1.png,03_Tracking_Error,03_Tracking_Error,0.9800995810050472,0.3839851403262813,0.45,REJECT,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\03_Tracking_Error\260511BJ9M_1_1.png,03_Tracking_Error,03_Tracking_Error,0.6686989264477804,0.42683485168124835,0.45,REJECT,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\03_Tracking_Error\260512N494_1_1.png,03_Tracking_Error,03_Tracking_Error,0.8763593894407822,0.5469991447528603,0.45,APPROVE,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\03_Tracking_Error\260514T5PO_50.png,03_Tracking_Error,03_Tracking_Error,0.9973597646399697,0.5808990942289949,0.45,APPROVE,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\03_Tracking_Error\260520XBLU_1_1.png,03_Tracking_Error,03_Tracking_Error,0.9974339473702026,0.42698132368065833,0.45,REJECT,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\03_Tracking_Error\260522DUJD_1_5.png,03_Tracking_Error,03_Tracking_Error,0.9057939882256115,0.5104303340137107,0.45,APPROVE,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\03_Tracking_Error\260523AB0J_14.png,03_Tracking_Error,03_Tracking_Error,0.996965380282568,0.4656110113973211,0.45,APPROVE,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\03_Tracking_Error\2605290YVA_1_2.png,03_Tracking_Error,03_Tracking_Error,0.7436350223052134,0.8222591561261459,0.45,APPROVE,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\03_Tracking_Error\2605293B2B_1_1.png,03_Tracking_Error,03_Tracking_Error,0.9002042986658569,0.5277689133225346,0.45,APPROVE,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\03_Tracking_Error\2605295C5R_6.png,03_Tracking_Error,03_Tracking_Error,0.9944667920271819,0.43527333600430784,0.45,REJECT,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\03_Tracking_Error\2605295MGR_1_2.png,03_Tracking_Error,03_Tracking_Error,0.4627276027615768,0.5239034694359087,0.45,APPROVE,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\03_Tracking_Error\260604ANWK_1_4.png,03_Tracking_Error,03_Tracking_Error,0.7569468509043733,0.675278271135019,0.45,APPROVE,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\03_Tracking_Error\260605NSHC_1_9.png,03_Tracking_Error,01_Good,0.5558984095074649,0.46059351458949527,0.45,APPROVE,False,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\03_Tracking_Error\2606061WXB_1_1.png,03_Tracking_Error,03_Tracking_Error,0.9413864530350762,0.44704353476283304,0.45,REJECT,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\03_Tracking_Error\2606061WXB_1_2.png,03_Tracking_Error,03_Tracking_Error,0.9929411349687496,0.3606877133007797,0.45,REJECT,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\03_Tracking_Error\2606064I4S_1_2.png,03_Tracking_Error,03_Tracking_Error,0.9405590662078636,0.8280326432463128,0.45,APPROVE,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\03_Tracking_Error\2606064KHQ_1_1.png,03_Tracking_Error,03_Tracking_Error,0.9981486400707307,0.8313499241902932,0.45,APPROVE,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\03_Tracking_Error\2606068CP4_1_1.png,03_Tracking_Error,03_Tracking_Error,0.9987766192690631,0.36257309941520477,0.45,REJECT,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\03_Tracking_Error\260606AAWX_1_1.png,03_Tracking_Error,03_Tracking_Error,0.999249183485445,0.6298580018541695,0.45,APPROVE,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\03_Tracking_Error\260606BH5T_1_1.png,03_Tracking_Error,03_Tracking_Error,0.9958396170419122,0.5623322020578082,0.45,APPROVE,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\03_Tracking_Error\260606X3Y8_1_2.png,03_Tracking_Error,03_Tracking_Error,0.9983912603357417,0.6832555526922708,0.45,APPROVE,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\03_Tracking_Error\260606XE8Z_1_1.png,03_Tracking_Error,03_Tracking_Error,0.9328412025545708,0.36257309941520477,0.45,REJECT,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\03_Tracking_Error\260607JBMC_1_1.png,03_Tracking_Error,02_Out_of_Focus,0.6173421540020572,0.18571428571428575,0.45,REJECT,False,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\03_Tracking_Error\260607JBMC_1_2.png,03_Tracking_Error,03_Tracking_Error,0.9910575073291978,0.35760464102271505,0.45,REJECT,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\03_Tracking_Error\2607027VZF_1555.png,03_Tracking_Error,03_Tracking_Error,0.9866463165621564,0.5166116520450198,0.45,APPROVE,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\03_Tracking_Error\2607027VZF_1597.png,03_Tracking_Error,03_Tracking_Error,0.9564888849239666,0.5120495912759111,0.45,APPROVE,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\03_Tracking_Error\2607027VZF_1603.png,03_Tracking_Error,03_Tracking_Error,0.9964290102464748,0.47875141913797625,0.45,APPROVE,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\03_Tracking_Error\2607027VZF_1636.png,03_Tracking_Error,03_Tracking_Error,0.9961624811385577,0.45288309505413943,0.45,APPROVE,True,
D:\Internship\Test_Rule\test_rule_new_v2\Dataset_For_Rule_Base\03_Tracking_Error\2607027VZF_1642.png,03_Tracking_Error,03_Tracking_Error,0.9973441770469185,0.46884290279275354,0.45,APPROVE,True,
